day_number,type,txn_count,total_amount,avg_amount,fraud_count,fraud_amount,fraud_rate_pct,prev_day_count,dod_pct_change,rolling_7d_avg,cumulative_txn_count
19,CASH_IN,2709,420175723.28,155103.63,0,0.0,0.0,5065.0,-46.52,65233.29,1321163.0
20,CASH_IN,4366,768702632.46,176065.65,0,0.0,0.0,2709.0,61.17,52165.57,1325529.0
21,CASH_IN,5634,958074265.3,170052.23,0,0.0,0.0,4366.0,29.04,40499.29,1331163.0
22,CASH_IN,12005,1977852667.94,164752.41,0,0.0,0.0,5634.0,113.08,29409.14,1343168.0
23,CASH_IN,11552,1976997662.21,171138.99,0,0.0,0.0,12005.0,-3.77,19260.71,1354720.0
24,CASH_IN,7417,1297385680.66,174920.54,0,0.0,0.0,11552.0,-35.79,6964.0,1362137.0
25,CASH_IN,13088,2182680755.98,166769.62,0,0.0,0.0,7417.0,76.46,8110.14,1375225.0
26,CASH_IN,3289,540132665.12,164223.98,0,0.0,0.0,13088.0,-74.87,8193.0,1378514.0
27,CASH_IN,2093,357315320.15,170719.22,0,0.0,0.0,3289.0,-36.36,7868.29,1380607.0
28,CASH_IN,3576,616923469.14,172517.75,0,0.0,0.0,2093.0,70.86,7574.29,1384183.0
29,CASH_IN,12682,2102150748.55,165758.61,0,0.0,0.0,3576.0,254.64,7671.0,1396865.0
30,CASH_IN,2419,391416841.22,161809.36,0,0.0,0.0,12682.0,-80.93,6366.29,1399284.0
1,CASH_OUT,204397,37494515023.43,183439.65,141,105052284.0,0.069,,,204397.0,204397.0
2,CASH_OUT,164605,30174273583.15,183313.23,156,189542212.63,0.0948,204397.0,-19.47,184501.0,369002.0
3,CASH_OUT,240,210208801.75,875870.01,155,197254430.3,64.5833,164605.0,-99.85,123080.67,369242.0
4,CASH_OUT,6252,1266226024.29,202531.35,131,219123408.01,2.0953,240.0,2505.0,93873.5,375494.0
5,CASH_OUT,1769,421612593.09,238333.86,126,122490289.06,7.1227,6252.0,-71.71,75452.6,377263.0
6,CASH_OUT,159596,29962552928.5,187740.0,114,183616791.2,0.0714,1769.0,8921.82,89476.5,536859.0
7,CASH_OUT,151338,27521970690.45,181857.63,136,200895064.4,0.0899,159596.0,-5.17,98313.86,688197.0
8,CASH_OUT,159368,27933095710.36,175274.18,140,176278328.06,0.0878,151338.0,5.31,91881.14,847565.0
9,CASH_OUT,147654,23897607194.14,161848.69,128,189954440.76,0.0867,159368.0,-7.35,89459.57,995219.0
10,CASH_OUT,139113,25039530978.48,179994.18,142,186597841.1,0.1021,147654.0,-5.78,109298.57,1134332.0
11,CASH_OUT,148021,24527038700.32,165699.72,131,209556941.33,0.0885,139113.0,6.4,129551.29,1282353.0
12,CASH_OUT,121504,18001297741.46,148153.95,149,213723259.99,0.1226,148021.0,-17.91,146656.29,1403857.0
13,CASH_OUT,151884,27505796082.75,181097.39,121,212075245.21,0.0797,121504.0,25.0,145554.57,1555741.0
14,CASH_OUT,138626,24833679745.22,179141.57,123,136935916.96,0.0887,151884.0,-8.73,143738.57,1694367.0
15,CASH_OUT,140175,24414977154.4,174174.98,125,194995405.36,0.0892,138626.0,1.12,140996.71,1834542.0
16,CASH_OUT,131588,22830504394.17,173499.9,126,167799567.4,0.0958,140175.0,-6.13,138701.57,1966130.0
17,CASH_OUT,152162,26218755453.93,172308.17,160,316018128.53,0.1052,131588.0,15.64,140565.71,2118292.0
18,CASH_OUT,6201,1268186670.97,204513.25,134,262540484.5,2.1609,152162.0,-95.92,120305.71,2124493.0
19,CASH_OUT,3230,688469565.33,213148.47,128,230364091.94,3.9628,6201.0,-47.91,103409.43,2127723.0
20,CASH_OUT,6191,1168512872.61,188743.8,118,138341664.35,1.906,3230.0,91.67,82596.14,2133914.0
21,CASH_OUT,7567,1435561947.43,189713.49,136,194611309.31,1.7973,6191.0,22.23,63873.43,2141481.0
22,CASH_OUT,16732,2925898069.92,174868.4,128,204409321.07,0.765,7567.0,121.12,46238.71,2158213.0
23,CASH_OUT,16132,2717095327.23,168428.92,108,109694686.0,0.6695,16732.0,-3.59,29745.0,2174345.0
24,CASH_OUT,10676,1978674043.1,185338.52,140,165457472.32,1.3114,16132.0,-33.82,9532.71,2185021.0
25,CASH_OUT,19054,3165375700.62,166126.57,120,153925805.67,0.6298,10676.0,78.48,11368.86,2204075.0
26,CASH_OUT,4214,795112322.83,188683.51,136,196697165.16,3.2273,19054.0,-77.88,11509.43,2208289.0
27,CASH_OUT,2834,693212330.82,244605.62,140,213598371.52,4.94,4214.0,-32.75,11029.86,2211123.0
28,CASH_OUT,4229,935595788.07,221233.34,124,187215492.45,2.9321,2834.0,49.22,10553.0,2215352.0
29,CASH_OUT,17965,3262505549.91,181603.43,130,250973387.33,0.7236,4229.0,324.8,10729.14,2233317.0
30,CASH_OUT,4047,912604519.81,225501.49,134,246915721.96,3.3111,17965.0,-77.47,9002.71,2237364.0
31,CASH_OUT,136,212547715.95,1562850.85,136,212547715.95,100.0,4047.0,-96.64,7497.0,2237500.0
1,DEBIT,4470,27922583.5,6246.66,0,0.0,0.0,,,4470.0,4470.0
2,DEBIT,2510,12664019.28,5045.43,0,0.0,0.0,4470.0,-43.85,3490.0,6980.0
3,DEBIT,24,31606.65,1316.94,0,0.0,0.0,2510.0,-99.04,2334.67,7004.0
4,DEBIT,340,2031923.85,5976.25,0,0.0,0.0,24.0,1316.67,1836.0,7344.0
5,DEBIT,194,933730.72,4813.04,0,0.0,0.0,340.0,-42.94,1507.6,7538.0
6,DEBIT,2663,12385027.87,4650.78,0,0.0,0.0,194.0,1272.68,1700.17,10201.0
7,DEBIT,2539,13936392.76,5488.93,0,0.0,0.0,2663.0,-4.66,1820.0,12740.0
8,DEBIT,2895,14967433.62,5170.1,0,0.0,0.0,2539.0,14.02,1595.0,15635.0
9,DEBIT,2128,7610290.79,3576.26,0,0.0,0.0,2895.0,-26.49,1540.43,17763.0
10,DEBIT,2413,11245611.27,4660.43,0,0.0,0.0,2128.0,13.39,1881.71,20176.0
11,DEBIT,2049,21471848.55,10479.18,0,0.0,0.0,2413.0,-15.08,2125.86,22225.0
12,DEBIT,2194,13188206.32,6011.03,0,0.0,0.0,2049.0,7.08,2411.57,24419.0
13,DEBIT,2626,15772032.32,6006.11,0,0.0,0.0,2194.0,19.69,2406.29,27045.0
14,DEBIT,2881,16096044.89,5586.96,0,0.0,0.0,2626.0,9.71,2455.14,29926.0
15,DEBIT,3271,14946773.34,4569.48,0,0.0,0.0,2881.0,13.54,2508.86,33197.0
16,DEBIT,2414,13304412.25,5511.36,0,0.0,0.0,3271.0,-26.2,2549.71,35611.0
17,DEBIT,2878,16362774.36,5685.47,0,0.0,0.0,2414.0,19.22,2616.14,38489.0
18,DEBIT,186,372801.08,2004.31,0,0.0,0.0,2878.0,-93.54,2350.0,38675.0
19,DEBIT,66,172813.11,2618.38,0,0.0,0.0,186.0,-64.52,2046.0,38741.0
20,DEBIT,138,288523.99,2090.75,0,0.0,0.0,66.0,109.09,1690.57,38879.0
21,DEBIT,112,2938376.1,26235.5,0,0.0,0.0,138.0,-18.84,1295.0,38991.0
22,DEBIT,522,1721708.18,3298.29,0,0.0,0.0,112.0,366.07,902.29,39513.0
23,DEBIT,409,1723238.21,4213.3,0,0.0,0.0,522.0,-21.65,615.86,39922.0
24,DEBIT,196,1084193.85,5531.6,0,0.0,0.0,409.0,-52.08,232.71,40118.0
25,DEBIT,491,1286473.7,2620.11,0,0.0,0.0,196.0,150.51,276.29,40609.0
26,DEBIT,110,338979.9,3081.64,0,0.0,0.0,491.0,-77.6,282.57,40719.0
27,DEBIT,30,38197.02,1273.23,0,0.0,0.0,110.0,-72.73,267.14,40749.0
28,DEBIT,96,289546.37,3016.11,0,0.0,0.0,30.0,220.0,264.86,40845.0
29,DEBIT,462,1563235.83,3383.63,0,0.0,0.0,96.0,381.25,256.29,41307.0
30,DEBIT,125,510421.6,4083.37,0,0.0,0.0,462.0,-72.94,215.71,41432.0
1,PAYMENT,194676,2192430026.02,11261.94,0,0.0,0.0,,,194676.0,194676.0
2,PAYMENT,150147,1661093173.18,11063.11,0,0.0,0.0,194676.0,-22.87,172411.5,344823.0
3,PAYMENT,480,3127637.43,6515.91,0,0.0,0.0,150147.0,-99.68,115101.0,345303.0
4,PAYMENT,14286,126117840.07,8828.07,0,0.0,0.0,480.0,2876.25,89897.25,359589.0
5,PAYMENT,5470,49816138.16,9107.16,0,0.0,0.0,14286.0,-61.71,73011.8,365059.0
6,PAYMENT,142460,2021474975.8,14189.77,0,0.0,0.0,5470.0,2504.39,84586.5,507519.0
7,PAYMENT,138250,1621642881.27,11729.79,0,0.0,0.0,142460.0,-2.96,92252.71,645769.0
8,PAYMENT,149776,1631345214.32,10891.9,0,0.0,0.0,138250.0,8.34,85838.43,795545.0
9,PAYMENT,144781,1438059365.15,9932.65,0,0.0,0.0,149776.0,-3.33,85071.86,940326.0
10,PAYMENT,132895,1921698781.24,14460.28,0,0.0,0.0,144781.0,-8.21,103988.29,1073221.0
11,PAYMENT,142592,1656399391.69,11616.36,0,0.0,0.0,132895.0,7.3,122317.71,1215813.0
12,PAYMENT,123788,1407104595.32,11367.05,0,0.0,0.0,142592.0,-13.19,139220.29,1339601.0
13,PAYMENT,141460,2501188710.69,17681.24,0,0.0,0.0,123788.0,14.28,139077.43,1481061.0
14,PAYMENT,135173,2251686120.07,16657.81,0,0.0,0.0,141460.0,-4.44,138637.86,1616234.0
15,PAYMENT,134424,1971935186.73,14669.52,0,0.0,0.0,135173.0,-0.55,136444.71,1750658.0
16,PAYMENT,127445,1724076856.06,13528.01,0,0.0,0.0,134424.0,-5.19,133968.14,1878103.0
17,PAYMENT,141614,2298056690.98,16227.61,0,0.0,0.0,127445.0,11.12,135213.71,2019717.0
18,PAYMENT,7680,101076198.74,13160.96,0,0.0,0.0,141614.0,-94.58,115940.57,2027397.0
19,PAYMENT,4302,46224507.75,10744.89,0,0.0,0.0,7680.0,-43.98,98871.14,2031699.0
20,PAYMENT,7081,81603483.98,11524.29,0,0.0,0.0,4302.0,64.6,79674.14,2038780.0
21,PAYMENT,8739,119200369.07,13640.05,0,0.0,0.0,7081.0,23.41,61612.14,2047519.0
22,PAYMENT,19381,283788030.54,14642.59,0,0.0,0.0,8739.0,121.78,45177.43,2066900.0
23,PAYMENT,18261,240197705.53,13153.59,0,0.0,0.0,19381.0,-5.78,29579.71,2085161.0
24,PAYMENT,11322,121904195.9,10767.02,0,0.0,0.0,18261.0,-38.0,10966.57,2096483.0
25,PAYMENT,19871,212364772.03,10687.17,0,0.0,0.0,11322.0,75.51,12708.14,2116354.0
26,PAYMENT,5028,51560574.25,10254.69,0,0.0,0.0,19871.0,-74.7,12811.86,2121382.0
27,PAYMENT,2733,35865484.78,13123.12,0,0.0,0.0,5028.0,-45.64,12190.71,2124115.0
28,PAYMENT,5265,49402738.16,9383.24,0,0.0,0.0,2733.0,92.65,11694.43,2129380.0
29,PAYMENT,18433,225535105.32,12235.4,0,0.0,0.0,5265.0,250.1,11559.0,2147813.0
30,PAYMENT,3682,47394388.14,12871.91,0,0.0,0.0,18433.0,-80.02,9476.29,2151495.0
1,TRANSFER,46686,31178878559.6,667842.15,130,106111543.46,0.2785,,,46686.0,46686.0
2,TRANSFER,38269,22574782086.19,589897.36,153,189697472.44,0.3998,46686.0,-18.03,42477.5,84955.0
3,TRANSFER,189,210011250.02,1111170.64,155,197254430.3,82.0106,38269.0,-99.51,28381.33,85144.0
4,TRANSFER,2514,1651877310.36,657071.32,131,219123408.01,5.2108,189.0,1230.16,21914.5,87658.0
5,TRANSFER,906,610592604.87,673943.27,126,122490289.06,13.9073,2514.0,-63.96,17712.8,88564.0
6,TRANSFER,36314,24033728825.41,661830.94,114,183616791.2,0.3139,906.0,3908.17,20813.0,124878.0
7,TRANSFER,34721,22074097461.5,635756.39,136,200895064.4,0.3917,36314.0,-4.39,22799.86,159599.0
8,TRANSFER,37674,23768050464.85,630887.36,138,175715688.95,0.3663,34721.0,8.5,21512.43,197273.0
9,TRANSFER,33995,18469103069.75,543288.81,127,194616814.0,0.3736,37674.0,-9.77,20901.86,231268.0
10,TRANSFER,32717,23525827932.73,719070.45,140,186462857.27,0.4279,33995.0,-3.76,25548.71,263985.0
11,TRANSFER,34088,19144798796.23,561628.69,131,210899943.41,0.3843,32717.0,4.19,30059.29,298073.0
12,TRANSFER,27836,27118394432.71,974220.23,149,214259884.4,0.5353,34088.0,-18.34,33906.43,325909.0
13,TRANSFER,36773,91840093137.63,2497487.1,121,212075245.21,0.329,27836.0,32.11,33972.0,362682.0
14,TRANSFER,33898,57625423333.21,1699965.29,123,136935916.96,0.3629,36773.0,-7.82,33854.43,396580.0
15,TRANSFER,33776,35882860058.84,1062377.43,125,194995405.36,0.3701,33898.0,-0.36,33297.57,430356.0
16,TRANSFER,31556,29249666860.59,926913.01,126,167799567.4,0.3993,33776.0,-6.57,32949.14,461912.0
17,TRANSFER,35618,29536703239.48,829263.38,160,320910321.62,0.4492,31556.0,12.87,33363.57,497530.0
18,TRANSFER,1867,1507038056.8,807197.67,134,282125524.87,7.1773,35618.0,-94.76,28760.57,499397.0
19,TRANSFER,993,781852933.67,787364.49,128,230364091.94,12.8902,1867.0,-46.81,24925.86,500390.0
20,TRANSFER,1951,1577265705.48,808439.62,118,138341664.35,6.0482,993.0,96.48,19951.29,502341.0
21,TRANSFER,2541,2324646363.74,914854.92,136,194611309.31,5.3522,1951.0,30.24,15471.71,504882.0
22,TRANSFER,4797,4326018141.68,901817.42,128,204409321.07,2.6683,2541.0,88.78,11331.86,509679.0
23,TRANSFER,4658,3258732064.77,699598.98,108,109694686.0,2.3186,4797.0,-2.9,7489.29,514337.0
24,TRANSFER,3098,1844461256.54,595371.61,140,169033769.42,4.519,4658.0,-33.49,2843.57,517435.0
25,TRANSFER,5349,3615779625.53,675973.01,120,154279679.89,2.2434,3098.0,72.66,3341.0,522784.0
26,TRANSFER,1244,841565164.23,676499.33,136,199239829.43,10.9325,5349.0,-76.74,3376.86,524028.0
27,TRANSFER,888,669837463.99,754321.47,140,223997416.6,15.7658,1244.0,-28.62,3225.0,524916.0
28,TRANSFER,1495,1404506496.02,939469.23,124,190656533.91,8.2943,888.0,68.36,3075.57,526411.0
29,TRANSFER,5348,3765881812.46,704166.38,130,250973387.33,2.4308,1495.0,257.73,3154.29,531759.0
30,TRANSFER,1014,643974235.4,635083.07,134,250086807.55,13.215,5348.0,-81.04,2633.71,532773.0
31,TRANSFER,136,235538518.89,1731900.87,136,235538518.89,100.0,1014.0,-86.59,2210.57,532909.0
