day_number,type,name_orig,name_dest,amount,risk_score,is_fraud
14,TRANSFER,C1495344095,C128292751,8950011.46,1,1
4,TRANSFER,C1230337572,C720836200,8931607.89,1,1
26,TRANSFER,C1634206825,C977366743,8931550.69,1,1
4,TRANSFER,C406938681,C579440834,8924971.59,1,1
30,TRANSFER,C1044721452,C61841056,8813323.11,1,1
4,TRANSFER,C1917836086,C1694421805,8775594.43,1,1
10,TRANSFER,C1514794775,C1091532529,8752000.36,1,1
28,TRANSFER,C1419011226,C150488099,8730600.58,1,1
7,TRANSFER,C582011779,C1801176562,8720558.46,1,1
8,TRANSFER,C546277701,C680858375,8607089.62,1,1
8,TRANSFER,C377226285,C497430875,8594499.99,1,1
3,TRANSFER,C1801750044,C1420708952,8594065.09,1,1
13,TRANSFER,C1961162790,C111676219,8589704.49,1,1
30,TRANSFER,C601921404,C1092111599,8537861.24,1,1
18,TRANSFER,C2060464348,C2079215936,8536151.16,1,1
27,TRANSFER,C2072377567,C816064707,8488865.83,1,1
30,TRANSFER,C1776089845,C870079370,8443528.7,1,1
11,TRANSFER,C1485613101,C397739299,8332002.94,1,1
7,TRANSFER,C1699496065,C1917022253,8327328.27,1,1
16,TRANSFER,C2084166173,C1399946131,8317724.27,1,1
25,TRANSFER,C1448634544,C2054992748,8286342.51,1,1
11,TRANSFER,C1112360108,C1241281307,8276235.5,1,1
11,TRANSFER,C840630111,C825235440,8274020.94,1,1
4,TRANSFER,C997276166,C1246358574,8267760.5,1,1
24,TRANSFER,C364617026,C1664077486,8208916.0,1,1
8,TRANSFER,C1807376004,C1506576839,8186519.17,1,1
8,TRANSFER,C1210414819,C118885392,8142605.46,1,1
29,TRANSFER,C2106211047,C1629558772,8104557.88,1,1
6,TRANSFER,C2047670192,C1601626536,8097183.22,1,1
21,TRANSFER,C1191681942,C916997353,8020192.15,1,1
19,TRANSFER,C1764648235,C894097120,8006429.04,1,1
10,TRANSFER,C58219748,C792397679,7983958.34,1,1
2,TRANSFER,C2057200986,C1124319645,7937954.2,1,1
13,TRANSFER,C2147008654,C722948959,7809301.98,1,1
28,TRANSFER,C843174735,C1348278201,7807640.17,1,1
27,TRANSFER,C1474481275,C955662088,7788725.2,1,1
19,TRANSFER,C1751529795,C1669818195,7782452.17,1,1
31,TRANSFER,C365237849,C332427023,7758036.72,1,1
14,TRANSFER,C149785547,C733601841,7748802.0,1,1
3,TRANSFER,C139632487,C1966690861,7728992.56,1,1
16,TRANSFER,C219294261,C1925673449,7703574.71,1,1
4,TRANSFER,C1641731466,C290559240,7696836.35,1,1
16,TRANSFER,C2068656014,C1266729216,7677120.59,1,1
7,TRANSFER,C1744142327,C197131659,7670038.08,1,1
9,TRANSFER,C1407135183,C1128587638,7620549.14,1,1
22,TRANSFER,C1672263305,C1495920841,7603589.38,1,1
14,TRANSFER,C926688459,C1810250799,7596886.83,1,1
19,TRANSFER,C1538555812,C1230453143,7578130.45,1,1
21,TRANSFER,C149249593,C210740885,7576324.61,1,1
2,TRANSFER,C1215509660,C96222488,7567170.36,1,1
6,TRANSFER,C584194979,C2018653161,7563536.91,1,1
28,TRANSFER,C64015154,C1744865437,7539165.76,1,1
21,TRANSFER,C1144230283,C1501063702,7515624.63,1,1
7,TRANSFER,C1185526711,C342454180,7513581.46,1,1
3,TRANSFER,C1486116303,C398541118,7484125.12,1,1
9,TRANSFER,C679238677,C2112303163,7482670.24,1,1
6,TRANSFER,C452889653,C1784013165,7476725.66,1,1
23,TRANSFER,C88290164,C161940442,7469051.14,1,1
15,TRANSFER,C1023551084,C257701345,7454553.06,1,1
15,TRANSFER,C1893971699,C520742045,7445820.78,1,1
29,TRANSFER,C1517198206,C1743049474,7442005.19,1,1
29,TRANSFER,C1466030331,C1541661515,7435751.59,1,1
15,TRANSFER,C1805149634,C849581392,7428844.46,1,1
30,TRANSFER,C1908904298,C646426738,7418265.31,1,1
24,TRANSFER,C22695246,C750661088,7365106.76,1,1
1,CASH_OUT,C2050703310,C1622860679,10000000.0,2,1
2,CASH_OUT,C29118015,C1379703840,10000000.0,2,1
4,CASH_OUT,C333142995,C1990623385,10000000.0,2,1
3,CASH_OUT,C1438388258,C1089455271,10000000.0,2,1
4,CASH_OUT,C538142346,C557678014,10000000.0,2,1
4,CASH_OUT,C824646662,C1917849910,10000000.0,2,1
5,CASH_OUT,C1348396248,C1954217280,10000000.0,2,1
4,CASH_OUT,C1079335762,C615227407,10000000.0,2,1
6,CASH_OUT,C944451895,C1941053102,10000000.0,2,1
6,CASH_OUT,C2064974440,C184545705,10000000.0,2,1
7,CASH_OUT,C2068007279,C836488544,10000000.0,2,1
7,CASH_OUT,C724193820,C667232119,10000000.0,2,1
7,CASH_OUT,C714385617,C670347095,10000000.0,2,1
7,CASH_OUT,C525906402,C43869769,10000000.0,2,1
9,CASH_OUT,C1853514800,C591314687,10000000.0,2,1
9,CASH_OUT,C1251439451,C290459952,10000000.0,2,1
9,CASH_OUT,C1041060645,C1784785490,10000000.0,2,1
8,CASH_OUT,C950353738,C1401949177,10000000.0,2,1
10,CASH_OUT,C2022162818,C1201081149,10000000.0,2,1
10,CASH_OUT,C1790027985,C243227440,10000000.0,2,1
10,CASH_OUT,C1723333662,C1093911640,10000000.0,2,1
11,CASH_OUT,C1321526330,C120368346,10000000.0,2,1
11,CASH_OUT,C1877358148,C709815552,10000000.0,2,1
11,CASH_OUT,C1919400809,C1527429194,10000000.0,2,1
10,CASH_OUT,C487836667,C1825256816,10000000.0,2,1
11,CASH_OUT,C619552920,C1630566944,10000000.0,2,1
11,CASH_OUT,C494814442,C242619213,10000000.0,2,1
10,CASH_OUT,C844374854,C141316671,10000000.0,2,1
15,CASH_OUT,C50848420,C1732619349,10000000.0,2,1
16,TRANSFER,C2092361947,C2073654140,10000000.0,2,0
16,TRANSFER,C2120755050,C643585722,10000000.0,2,0
16,TRANSFER,C1193211030,C1409156546,10000000.0,2,0
16,TRANSFER,C1488865395,C141847315,10000000.0,2,0
16,TRANSFER,C193218422,C790491824,10000000.0,2,0
16,TRANSFER,C1299677776,C1038898319,10000000.0,2,0
16,TRANSFER,C464259931,C232234563,10000000.0,2,0
16,TRANSFER,C203882157,C1038312606,10000000.0,2,0
16,TRANSFER,C882073058,C383063798,10000000.0,2,0
16,TRANSFER,C485856074,C2065813371,10000000.0,2,0
16,TRANSFER,C2065148390,C2110699229,10000000.0,2,0
16,TRANSFER,C2118412497,C691542794,10000000.0,2,0
16,TRANSFER,C600733156,C2017751279,10000000.0,2,0
16,TRANSFER,C1708637425,C1508619917,10000000.0,2,0
16,TRANSFER,C901525319,C670087660,10000000.0,2,0
16,TRANSFER,C745482509,C817012662,10000000.0,2,0
16,TRANSFER,C416001910,C937733035,10000000.0,2,0
16,TRANSFER,C217746745,C937733035,10000000.0,2,0
16,TRANSFER,C920866662,C1350473950,10000000.0,2,0
16,TRANSFER,C1417803811,C783465167,10000000.0,2,0
16,TRANSFER,C634210359,C567057511,10000000.0,2,0
16,TRANSFER,C2068243379,C482482676,10000000.0,2,0
16,TRANSFER,C1354478512,C99101075,10000000.0,2,0
16,TRANSFER,C309895119,C1573286290,10000000.0,2,0
16,TRANSFER,C843758675,C678924182,10000000.0,2,0
16,TRANSFER,C1465596126,C1476744842,10000000.0,2,0
16,TRANSFER,C508544723,C2050384365,10000000.0,2,0
16,TRANSFER,C1530902155,C107133875,10000000.0,2,0
16,TRANSFER,C319868650,C2045923011,10000000.0,2,0
16,TRANSFER,C1386698658,C1654599657,10000000.0,2,0
16,TRANSFER,C1296693238,C1773442569,10000000.0,2,0
16,TRANSFER,C1778076282,C2125536641,10000000.0,2,0
16,TRANSFER,C770392746,C1307241765,10000000.0,2,0
16,TRANSFER,C957848782,C1867456122,10000000.0,2,0
16,TRANSFER,C122224848,C1368727857,10000000.0,2,0
16,TRANSFER,C2105325156,C591441135,10000000.0,2,0
16,TRANSFER,C1051520867,C1930567660,10000000.0,2,0
16,TRANSFER,C1707077645,C206082947,10000000.0,2,0
16,TRANSFER,C1805293397,C1059939851,10000000.0,2,0
16,TRANSFER,C1489029961,C838949660,10000000.0,2,0
16,TRANSFER,C419764035,C1349929317,10000000.0,2,0
16,TRANSFER,C1865232041,C354902616,10000000.0,2,0
16,TRANSFER,C574847741,C1382058016,10000000.0,2,0
16,TRANSFER,C1864580946,C2037943170,10000000.0,2,0
16,TRANSFER,C1706843102,C34973797,10000000.0,2,0
16,TRANSFER,C1338216041,C208465506,10000000.0,2,0
16,TRANSFER,C445258123,C2024265674,10000000.0,2,0
16,TRANSFER,C1625815100,C1979186957,10000000.0,2,0
17,CASH_OUT,C1046281837,C193638063,10000000.0,2,1
17,CASH_OUT,C2062946234,C2129872070,10000000.0,2,1
17,CASH_OUT,C273979298,C1510815107,10000000.0,2,1
17,CASH_OUT,C424305014,C761333500,10000000.0,2,1
19,CASH_OUT,C1552522980,C2104816494,10000000.0,2,1
21,CASH_OUT,C25889412,C1671906752,10000000.0,2,1
18,CASH_OUT,C792080060,C2030266969,10000000.0,2,1
18,CASH_OUT,C1162717928,C2053317483,10000000.0,2,1
19,CASH_OUT,C731792064,C1744886336,10000000.0,2,1
19,CASH_OUT,C1507276112,C1441560807,10000000.0,2,1
18,CASH_OUT,C97242201,C786701128,10000000.0,2,1
17,CASH_OUT,C2039632835,C1012340770,10000000.0,2,1
18,CASH_OUT,C1299526002,C1744662180,10000000.0,2,1
18,CASH_OUT,C1505056771,C1036108574,10000000.0,2,1
19,CASH_OUT,C2048555739,C180656543,10000000.0,2,1
18,CASH_OUT,C246726057,C1786144514,10000000.0,2,1
19,CASH_OUT,C220809630,C1161159002,10000000.0,2,1
18,CASH_OUT,C2071282373,C803763593,10000000.0,2,1
22,CASH_OUT,C531780975,C19233081,10000000.0,2,1
22,CASH_OUT,C1180822515,C758711155,10000000.0,2,1
21,CASH_OUT,C1016892734,C634337503,10000000.0,2,1
22,CASH_OUT,C1274141620,C743250798,10000000.0,2,1
20,CASH_OUT,C210168934,C1856701476,10000000.0,2,1
12,TRANSFER,C1715283297,C439737079,92445516.64,3,0
13,TRANSFER,C2127282686,C753026640,73823490.36,3,0
13,TRANSFER,C2044643633,C84111522,71172480.42,3,0
12,TRANSFER,C1425667947,C167875008,69886731.3,3,0
12,TRANSFER,C1584456031,C1472140329,69337316.27,3,0
12,TRANSFER,C811810230,C1757599079,67500761.29,3,0
13,TRANSFER,C420748282,C1073241084,66761272.21,3,0
12,TRANSFER,C1139847449,C65111466,64234448.19,3,0
13,TRANSFER,C300140823,C514940761,63847992.58,3,0
13,TRANSFER,C372535854,C1871605747,63294839.63,3,0
13,TRANSFER,C1539737626,C1774146551,62785416.91,3,0
13,TRANSFER,C915403211,C744189981,61733761.65,3,0
12,TRANSFER,C453740720,C1676302617,60965275.64,3,0
12,TRANSFER,C68968235,C167875008,60642003.0,3,0
12,TRANSFER,C31593462,C172409641,60154456.05,3,0
12,TRANSFER,C1273768806,C294810721,59579503.33,3,0
12,TRANSFER,C24299338,C1320946922,58944752.64,3,0
13,TRANSFER,C1423766399,C1406193485,58318373.2,3,0
13,TRANSFER,C208486812,C1087955840,57787800.93,3,0
12,TRANSFER,C1139460122,C310383504,57436619.46,3,0
13,TRANSFER,C1621759239,C266573701,57229615.71,3,0
12,TRANSFER,C256698564,C439737079,56951424.46,3,0
12,TRANSFER,C1845534968,C1192919794,56808983.21,3,0
13,TRANSFER,C2043083172,C1066295040,56654831.14,3,0
13,TRANSFER,C50811564,C510521991,56254995.44,3,0
13,TRANSFER,C1293276010,C1687607266,55607114.09,3,0
12,TRANSFER,C1680772125,C2105830770,55129569.83,3,0
12,TRANSFER,C173148914,C20253152,54561579.68,3,0
12,TRANSFER,C1440084225,C439737079,53957543.97,3,0
12,TRANSFER,C140591783,C268913927,53920358.88,3,0
13,TRANSFER,C1960608501,C1511142890,53851053.08,3,0
13,TRANSFER,C1937630471,C294810721,53735587.33,3,0
13,TRANSFER,C1408116717,C926435744,53670510.99,3,0
13,TRANSFER,C1163102205,C734202350,53653616.57,3,0
13,TRANSFER,C2120801782,C172409641,53612432.52,3,0
12,TRANSFER,C1223028177,C707403537,52042803.47,3,0
13,TRANSFER,C2144929087,C1044689969,51990860.85,3,0
13,TRANSFER,C6333741,C2106908510,51729490.03,3,0
13,TRANSFER,C515250662,C935324559,51683728.91,3,0
12,TRANSFER,C2094706712,C1791724427,51496952.25,3,0
12,TRANSFER,C893113779,C936857833,51391814.47,3,0
13,TRANSFER,C962484785,C325534370,51324118.36,3,0
13,TRANSFER,C1483754162,C531111973,51141938.17,3,0
13,TRANSFER,C988219650,C1847853864,51103331.91,3,0
13,TRANSFER,C1942982352,C1413422241,50723281.59,3,0
12,TRANSFER,C1043576460,C1184860705,50556773.92,3,0
13,TRANSFER,C1092148827,C936857833,50284915.57,3,0
12,TRANSFER,C1260344462,C907499666,49866234.71,3,0
13,TRANSFER,C821543017,C98452956,49580968.52,3,0
13,TRANSFER,C1585432592,C1687607266,49522819.36,3,0
13,TRANSFER,C253892701,C1083888305,49507088.19,3,0
13,TRANSFER,C1753244211,C41481250,49500156.98,3,0
12,TRANSFER,C1301835320,C327052591,49380263.91,3,0
13,TRANSFER,C1983948243,C60911281,49316443.77,3,0
12,TRANSFER,C831435828,C1676302617,49203983.59,3,0
13,TRANSFER,C152536544,C1406499569,49142625.14,3,0
12,TRANSFER,C1774402263,C1640920899,48932770.05,3,0
13,TRANSFER,C155474398,C510521991,48724097.09,3,0
13,TRANSFER,C689906292,C161550987,48672213.16,3,0
13,TRANSFER,C1275690114,C707403537,48464778.69,3,0
13,TRANSFER,C1692196711,C663979939,48391417.1,3,0
12,TRANSFER,C865139105,C648140651,48035924.46,3,0
12,TRANSFER,C123249678,C955958643,47980266.33,3,0
13,TRANSFER,C1084869780,C20253152,47952846.94,3,0
13,TRANSFER,C1049185843,C828577595,47825067.55,3,0
13,TRANSFER,C1852022720,C1720463306,47579634.65,3,0
12,TRANSFER,C298757438,C2021595908,47542583.98,3,0
13,TRANSFER,C539714486,C190688669,47504216.38,3,0
12,TRANSFER,C744401564,C907499666,47463371.62,3,0
13,TRANSFER,C503937936,C310383504,47288336.09,3,0
13,TRANSFER,C1622870367,C744189981,47107862.46,3,0
13,TRANSFER,C1944832737,C44870833,47009785.39,3,0
13,TRANSFER,C1335021824,C2105830770,46874551.96,3,0
13,TRANSFER,C184899407,C2130064541,46837065.98,3,0
13,TRANSFER,C866532689,C471948321,46751398.17,3,0
12,TRANSFER,C661511930,C268913927,46714620.46,3,0
12,TRANSFER,C69207480,C532980658,46714461.77,3,0
13,TRANSFER,C891821473,C1287433675,46698160.51,3,0
12,TRANSFER,C256397271,C439737079,46211920.92,3,0
13,TRANSFER,C1177251642,C1858456879,45940069.72,3,0
13,TRANSFER,C812016560,C1251838000,45753877.29,3,0
13,TRANSFER,C604492107,C1497180663,45744606.08,3,0
13,TRANSFER,C240100497,C1789550256,45372634.63,3,0
13,TRANSFER,C646554535,C243325822,45083035.09,3,0
13,TRANSFER,C748391366,C1847853864,44964012.64,3,0
12,TRANSFER,C543086845,C20253152,44757554.09,3,0
13,TRANSFER,C1475793899,C112931567,44528076.23,3,0
12,TRANSFER,C1861117738,C907499666,44125125.22,3,0
13,TRANSFER,C1697395210,C1799942601,43886668.1,3,0
12,TRANSFER,C626152842,C1087955840,43746302.68,3,0
13,TRANSFER,C1701964888,C310383504,43638406.64,3,0
13,TRANSFER,C812415403,C471948321,43458810.55,3,0
12,TRANSFER,C1943142760,C1220292898,43143717.48,3,0
13,TRANSFER,C114509514,C1636786811,42684988.59,3,0
13,TRANSFER,C1269201229,C863811613,42242482.73,3,0
13,TRANSFER,C1835360608,C8271807,42183808.56,3,0
13,TRANSFER,C55478598,C60911281,41988600.77,3,0
12,TRANSFER,C1237771660,C947086614,41963708.15,3,0
13,TRANSFER,C1011191693,C880754345,41818052.2,3,0
13,TRANSFER,C1327783656,C735186749,41781250.27,3,0
